goal ,pledged ,backers ,currency ,main_category 
2500,2028,16,1,7
4000,909,30,1,7
2000,0,0,1,7
2000,75,2,1,7
900,930,10,1,7
25000,25435,175,1,7
4800,25,1,1,7
8700,2265,20,1,7
1000,1225,44,1,7
5000,380,4,1,7
300000,81,3,1,7
5000,5560,87,1,7
250,0,0,1,7
1000,1,1,1,7
2379,523,19,1,7
20000,0,0,1,7
1000,20,2,1,7
50000,0,0,1,7
4000,1572,20,1,7
8800,904,15,1,7
5000,0,0,1,7
25000,0,0,1,7
2500,139,3,1,7
1500,1620,16,1,7
1700,1720,41,1,7
3000,1690,47,1,7
17000,17574,96,1,7
1601,2200,13,1,7
13500,0,0,1,7
1000,1031,18,1,7
250,0,0,1,7
500,7146,1108,1,7
10000,2284,30,1,7
5000,5685,53,1,7
20000,29533,442,1,7
6000,6146,139,1,7
1200,10,1,1,7
4500,0,0,1,7
2500,180,4,1,7
2700,266,10,1,7
6500,236,7,1,7
600,910,15,1,7
2500,1050,16,1,7
65133,181,4,1,7
1700,20,2,1,7
4000,0,0,1,7
800,850,15,1,7
5000,5711,67,1,7
5000,100,2,1,7
21425,3275,40,1,7
600,77,7,1,7
3000,11229,94,1,7
3000,3480,43,1,7
3000,1013,42,1,7
10371,10378,159,1,7
6000,60,1,1,7
5000,0,0,1,7
18000,20206,153,1,7
2000,2613,55,1,7
1000,155,6,1,7
6000,1540,28,1,7
6000,24,3,1,7
20000,427,3,1,7
8888,7670,86,1,7
460,129,5,1,7
3300,3805,50,1,7
150,150,8,1,7
9025,546,18,1,7
300000,0,0,1,7
2000,2053,39,1,7
5000,1055,18,1,7
1000,1274,32,1,7
7000,0,0,1,7
3000,1242,7,1,7
800,1025,25,1,7
4000,65,2,1,7
20000,324,12,1,7
3500,0,0,1,7
1500,1905,42,1,7
1500,200,3,1,7
2000,447,7,1,7
421,12,1,1,7
75000,0,0,1,7
2000,2025,48,1,7
1500,30,2,1,7
5000,25,1,1,7
10000,0,0,1,7
600,330,9,1,7
5000,15,1,1,7
8000,8558,85,1,7
700,786,13,1,7
600,50,1,1,7
500,770,14,1,7
12500,14970,192,1,7
500,0,0,1,7
30,94,3,1,7
2500,2615,42,1,7
4600,75,2,1,7
4950,5007,124,1,7
1300,0,0,1,7
5000,825,7,1,7
355,0,0,1,7
20000,345,6,1,7
300,1,1,1,7
6500,37,2,1,7
4000,121,4,1,7
4000,61,3,1,7
8200,0,0,1,7
14771,15,1,1,7
10000,1596,21,1,7
2000,445,11,1,7
1000,139,7,1,7
200,220,4,1,7
100,0,0,1,7
8000,20,1,1,7
25000,4780,42,1,7
25000,0,0,1,7
10000,10,1,1,7
2000,215,5,1,7
4500,5166,23,1,7
5000,1,1,1,7
300,550,10,1,7
760,0,0,1,7
5000,806,5,1,7
5000,0,0,1,7
3500,18,2,1,7
100,100,3,1,7
500,510,20,1,7
50,50,2,1,7
15000,80,3,1,7
587,627,18,1,7
400,591,16,1,7
2000,2885,53,1,7
5000,1175,6,1,7
400,706,18,1,7
10400,3997,69,1,7
500,615,22,1,7
511,0,0,1,7
2500,546,10,1,7
3000,3180,71,1,7
2200,1128,21,1,7
4500,1955,27,1,7
1500,1620,18,1,7
5000,5260,66,1,7
400,555,12,1,7
3000,0,0,1,7
2000,15,2,1,7
13000,1,1,1,7
2500,0,0,1,7
20000,26256,222,1,7
3200,3490,40,1,7
1000,258,6,1,7
700,2621,56,1,7
800,2030,27,1,7
3200,208,3,1,7
2000,551,11,1,7
6500,10846,214,1,7
1000,1786,18,1,7
7000,0,0,1,7
2550,35,3,1,7
17500,100,1,1,7
25000,0,0,1,7
3000,0,0,1,7
2000,442,18,1,7
3750,3,1,1,7
4000,4004,19,1,7
2000,150,2,1,7
1200,1294,24,1,7
2000,2000,30,1,7
708,708,20,1,7
2000,2095,33,1,7
1000,1207,24,1,7
5,316,50,1,7
5000,6949,75,1,7
5400,5919,48,1,7
3000,3910,50,1,7
500,66,4,1,7
25000,1834,23,1,7
2500,15,2,1,7
1500,50,1,1,7
10000,10230,119,1,7
5000,15707,401,1,7
2000,567,15,1,7
2999,0,0,1,7
3250,3466,23,1,7
1200,1258,46,1,7
48000,17,1,1,7
475,80,3,1,7
10000,0,0,1,7
20,20,1,1,7
100000,510,3,1,7
2500,0,0,1,7
2500,130,5,1,7
100,0,0,1,7
1000,235,9,1,7
500,611,20,1,7
3500,3755,48,1,7
50000,652,14,1,7
97,0,0,1,7
25000,0,0,1,7
1100,1932,37,1,7
2600,2711,73,1,7
3500,230,3,1,7
750,18,3,1,7
3000,20,1,1,7
2000,132,5,1,7
10000,5568,93,1,7
2700,3790,60,1,7
1500,355,7,1,7
5000,155,5,1,7
3000,855,14,1,7
10000,22,4,1,7
15500,342,2,1,7
1500,50,2,1,7
250,91,3,1,7
12500,13660,155,1,7
3000,280,3,1,7
350,44,2,1,7
5000,5050,36,1,7
1111,1131,15,1,7
20,0,0,1,7
1000,60,2,1,7
35000,10,2,1,7
1695,1226,35,1,7
15000,1055,11,1,7
5000,85,3,1,7
2500,3075,33,1,7
4000,4066,71,1,7
3500,696,12,1,7
600,1043,29,1,7
800,800,13,1,7
4000,5035,92,1,7
1000,1105,11,1,7
4500,145,3,1,7
10000,10052,38,1,7
5000,9501,177,1,7
1500,1600,16,1,7
16000,17583,142,1,7
1000,325,8,1,7
2000,408,16,1,7
46777,572,15,1,7
1500,465,5,1,7
3000,3145,38,1,7
1500,0,0,1,7
1000,36,7,1,7
9640,1310,15,1,7
3500,3571,43,1,7
15000,2581,35,1,7
3199,150,4,1,7
11200,0,0,1,7
3800,122,4,1,7
11000,1955,33,1,7
20000,2783,23,1,7
8440,50,2,1,7
2000,2720,23,1,7
30000,35083,233,1,7
4500,100,1,1,7
2500,700,16,1,7
5000,1241,39,1,7
325000,27,5,1,7
500,1,1,1,7
2000000,154,2,1,7
1000,521,12,1,7
400,0,0,1,7
1000,1430,37,1,7
3000,151,2,1,7
5500,5626,30,1,7
5000,5221,57,1,7
1000,1276,23,1,7
3000,91,5,1,7
450,592,39,1,7
2800,2940,42,1,7
8500,3870,11,1,7
30000,1,1,1,7
700,1630,42,1,7
10000,0,0,1,7
3750,298,9,1,7
4000,325,12,1,7
5000,430,6,1,7
2000,2261,57,1,7
250,970,41,1,7
4080,4440,26,1,7
2500,2552,13,1,7
500,500,12,1,7
500,650,22,1,7
100,50,1,1,7
